Fabricante;Nombre Producto
Adobe;Creative Cloud for teams All Apps
Adobe;Photoshop for teams
Adobe;Acrobat Pro for Teams
Adobe;Illustrator for teams
Adobe;Dreamweaver for teams
Adobe;Acrobat Sign Solutions for enterprise Transactions - AWS
Adobe;All Apps - Edition 4
Adobe;Dreamweaver Enterprise (Single Apps)
Adobe;Photoshop Enterprise (Single Apps)
Adobe;Acrobat Studio
Adobe;Illustrator Enterprise (Single Apps)
Atlassian;Issue Checklist for Jira. Pro
Atlassian;Jira (Cloud) Enterprise
Autodesk;AutoCAD LT Comercial New Single-User Subcription
Google;Google Analytics 360 G4
Google;Business Standard
Google;Business Standard
Google;Presence Management 
Google;Review Management
Google;Competitive  Benchmark
IBM;IBM MQ Processor Value Unit (PVU) Annual SW Subscription & Support Renewal
IBM;IBM Planning Analytics
Microsoft;SQLSvrStdCore ALNG LicSAPk MVL 2Lic CoreLic
Microsoft;SQLSvrStdCore ALNG LicSAPk MVL 2Lic CoreLic
Microsoft;SQLSvrStdCore ALNG LicSAPk MVL 2Lic CoreLic
Microsoft;SQLSvrStdCore ALNG LicSAPk MVL 2Lic CoreLic
Microsoft;Power Apps per app plan
Microsoft;Power Apps per User plan
Microsoft;Power Automate Process Sub
Microsoft;M365 F3 FUSL Sub Per User
Microsoft;D365 Contact Center Digital Sub Per  User
Microsoft;D365 Contact Center Sub Per User
Microsoft;D365 Contact Center Voice Sub Per  User
Microsoft;D365 Customer Insights Attach Sub
Microsoft;D365 Customer Insights Journeys T2  Interacted People Sub Add-on
Microsoft;M365 E3 Unified Existing Customer Sub Per User
Microsoft;O365 E1 Existing Customer Sub Per User
Microsoft;M365 F1 Sub Per User - TFM
Microsoft;Visual Studio Test Pro MSDN ALNG SA
Microsoft;Win Remote Desktop Services CAL ALng LSA DCAL
Microsoft;Win Remote Desktop Services CAL ALng SA DCAL
Microsoft;Project Standard ALNG SA
Microsoft;Visio Standard ALNG SA
Microsoft;Visual Studio Ent MSDN ALNG SA
Microsoft;Copilot Studio Sub (Messages)
Microsoft;Core Cal ALNG LSA DCAL
Microsoft;Core Cal ALNG SA DCAL
Microsoft;Planner P1 Sub Per User
Microsoft;Planner P1 Sub Per User
Microsoft;Planner P1 Sub Per User
Microsoft;M365 Copilot Sub Add-on
Microsoft;Teams Premium Introductory Pricing Sub Per User
Microsoft;GitHub Enterprise Sub Per User
Microsoft;GitHub Enterprise Sub Per User
Microsoft;M365 Copilot Sub Add-on
Microsoft;M365 Copilot Sub Add-on
Microsoft;M365 Copilot Sub Add-on
Microsoft;M365 Copilot Sub Add-on
Microsoft;GitHub Enterprise Sub Per User
Microsoft;GitHub Enterprise Sub Per User
Microsoft;GitHub Enterprise Sub Per User
Microsoft;GitHub Enterprise Sub Per User
Microsoft;GitHub Enterprise Sub Per User
Microsoft;M365 E3 Unified Sub Per User
Microsoft;M365 E3 Unified Sub Per User
Microsoft;Win Server Standard Core ALng Sub 16L
Microsoft;SQL Server Standard Core ALng Sub 2L
Microsoft;SQL Server Standard Core ALng Sub 2L
Microsoft; SQL Server Enterprise Core ALng Sub 2L
Microsoft; SQL Server Enterprise Core ALng Sub 2L
Microsoft;Biztalk Svr Ent ALng Sub 2 Lic Core Lic
Microsoft;M365 E3 Unified Sub Per User
Microsoft;M365 E3 Unified Sub Per User
Microsoft;M365 E3 Unified Sub Per User
Microsoft;M365 F1 Sub Per User
Microsoft;M365 F1 Sub Per User
Microsoft;M365 F1 Sub Per User
Microsoft; SQL Server Enterprise Core ALng Sub 2L
Microsoft; SQL Server Enterprise Core ALng Sub 2L
Microsoft; SQL Server Enterprise Core ALng Sub 2L
Microsoft;Azure Active Directory Premium P2 SU AADP P1
Microsoft;Azure Active Directory Premium P2 SU AADP P1
Microsoft;Azure Active Directory Premium P2 SU AADP P1
Microsoft;Azure Active Directory Premium P2 SU AADP P1
Microsoft;M365 F1 Sub Per User
Microsoft;M365 F1 Sub Per User
Microsoft;Teams Rooms Pro Sub Per Device
Microsoft;Teams Rooms Pro Sub Per Device
Microsoft;Teams Rooms Pro Sub Per Device
Microsoft;Teams Rooms Pro Sub Per Device
Microsoft;Azure Active Directory Premium P2 SU AADP P1
Microsoft;Azure Active Directory Premium P2 SU AADP P1
Microsoft;Power Automate Sub Per User
Microsoft;Power Automate Sub Per User
Microsoft;Power Apps Portal Login T1 Sub Add-
Microsoft;CDS Database Capacity Sub Add-on
Microsoft;Teams Rooms Pro Sub Per Device
Microsoft;Teams Rooms Pro Sub Per Device
Microsoft; GitHub Advanced Security
Microsoft; GitHub Advanced Security
Microsoft; GitHub Advanced Security
Microsoft;Chatsession frVrtlAgnt Shared All Lng Subs VL MVL LmtdTimeOff Addon 1K sessions
Microsoft; GitHub Advanced Security
Microsoft; GitHub Advanced Security
Microsoft;Intune USL
Microsoft;Intune USL
Microsoft;Intune USL
Microsoft; GitHub Advanced Security
Microsoft;Power Bi Premium P2
Microsoft;Intune USL
Microsoft;Intune USL
Microsoft;Intune USL
Microsoft;Intune USL
Microsoft;Dyn365 Customer Service Digital Messaging Sub AO Per User
Microsoft;Dyn365E Team Members Sub Per User
Microsoft;Power Automate Unattended RPA AO Sub Per Bot
Microsoft; D365 Sales Sub Per User
Microsoft;WinRmtDsktpSrvcsCAL ALNG SubsVL MVL PerUsr
Microsoft; VSProSubMSDN ALNG LicSAPk MVL
Microsoft;Defender Cloud Apps Sub Per User
Microsoft;Power Virtual Agent
Microsoft;Dyn365E Customer Services PerUsr
Microsoft;WinRmtDsktpSrvcsCAL ALNG SA MVL DvcCAL
Microsoft;Power Bi Premium P1
Microsoft;WinRmtDsktpSrvcsCAL ALNG SubsVL MVL PerUsr
Microsoft;WinRmtDsktpSrvcsCAL ALNG SubsVL MVL PerUsr
Microsoft;WinSvrSTDCore ALNG SA MVL 2Lic CoreLic
Microsoft;WinSvrSTDCore ALNG SA MVL 2Lic CoreLic
Microsoft;WinSvrSTDCore ALNG SA MVL 2Lic CoreLic
Microsoft;WinRmtDsktpSrvcsCAL ALNG SA MVL DvcCAL
Microsoft;WinRmtDsktpSrvcsCAL ALNG SA MVL DvcCAL
Microsoft;WinRmtDsktpSrvcsCAL ALNG SA MVL DvcCAL
Microsoft;WinSvrDCCore ALNG SA MVL 2Lic CoreLic
Microsoft;WinSvrDCCore ALNG SA MVL 2Lic CoreLic
Microsoft;WinSvrDCCore ALNG SA MVL 2Lic CoreLic
Microsoft;WinSvrDCCore ALNG SA MVL 2Lic CoreLic
Microsoft;WinSvrSTDCore ALNG SA MVL 2Lic CoreLic
Microsoft;WinSvrSTDCore ALNG SA MVL 2Lic CoreLic
Microsoft;SQLSvrEntCore ALNG SA MVL 2Lic CoreLic
Microsoft;SQLSvrEntCore ALNG SA MVL 2Lic CoreLic
Microsoft;SQLSvrStdCore ALNG SA MVL 2Lic CoreLic
Microsoft;SQLSvrStdCore ALNG SA MVL 2Lic CoreLic
Microsoft;SQLSvrStdCore ALNG SA MVL 2Lic CoreLic
Microsoft;SQLSvrStdCore ALNG SA MVL 2Lic CoreLic
Microsoft;Power BI Pro
Microsoft;Power BI Pro
Microsoft;Power BI Pro
Microsoft;SQLSvrEntCore ALNG SA MVL 2Lic CoreLic
Microsoft;SQLSvrEntCore ALNG SA MVL 2Lic CoreLic
Microsoft;SQLSvrEntCore ALNG SA MVL 2Lic CoreLic
Microsoft;Power BI Pro
Microsoft;Power BI Pro
Microsoft;Power BI Pro
Microsoft;Power BI Pro
Microsoft;O365E1 ShrdSvr ALNG SubsVL MVL PerUsr
Microsoft;O365E1 ShrdSvr ALNG SubsVL MVL PerUsr
Microsoft;O365E1 ShrdSvr ALNG SubsVL MVL PerUsr
Microsoft;O365E1 ShrdSvr ALNG SubsVL MVL PerUsr
Microsoft;O365E1 ShrdSvr ALNG SubsVL MVL PerUsr
Microsoft;O365E1 ShrdSvr ALNG SubsVL MVL PerUsr
Microsoft;O365E1 ShrdSvr ALNG SubsVL MVL PerUsr
Microsoft;O365E1 ShrdSvr ALNG SubsVL MVL PerUsr
Microsoft;EOA Exchange Online Sub Per User
Microsoft;ExchgSvrStd ALNG SA MVL
Microsoft;ExchgSvrStd ALNG SA MVL
Microsoft;ExchgSvrStd ALNG SA MVL
Microsoft;ExchgSvrStd ALNG SA MVL
Microsoft;EOA Exchange Online Sub Per User
Microsoft;EOA Exchange Online Sub Per User
Microsoft;EOA Exchange Online Sub Per User
Microsoft;EOA Exchange Online Sub Per User
Microsoft;EOA Exchange Online Sub Per User
Microsoft;EOA Exchange Online Sub Per User
Microsoft;EOA Exchange Online Sub Per User
Microsoft;CoreCALBridgeO365FromSA ALNG SubsVL MVL PerUsr
Microsoft;CoreCALBridgeO365FromSA ALNG SubsVL MVL PerUsr
Microsoft;CoreCALBridgeO365FromSA ALNG SubsVL MVL PerUsr
Microsoft;CoreCALBridgeO365FromSA ALNG SubsVL MVL PerUsr
Microsoft;CoreCALBridgeO365FromSA ALNG SubsVL MVL PerUsr
Microsoft;CoreCALBridgeO365FromSA ALNG SubsVL MVL PerUsr
Microsoft;CoreCALBridgeO365 ALNG SubsVL MVL PerUsr
Microsoft;CoreCALBridgeO365 ALNG SubsVL MVL PerUsr
Microsoft;CoreCALBridgeO365FromSA ALNG SubsVL MVL PerUsr
Microsoft;CoreCALBridgeO365FromSA ALNG SubsVL MVL PerUsr
Microsoft;CoreCALBridgeO365 ALNG SubsVL MVL PerUsr
Microsoft;CoreCALBridgeO365 ALNG SubsVL MVL PerUsr
Microsoft;CoreCALBridgeO365 ALNG SubsVL MVL PerUsr
Microsoft;CoreCALBridgeO365 ALNG SubsVL MVL PerUsr
Microsoft;CoreCALBridgeO365 ALNG SubsVL MVL PerUsr
Microsoft;CoreCALBridgeO365 ALNG SubsVL MVL PerUsr
Microsoft;O365E3 ShrdSvr ALNG SubsVL MVL PerUsr
Microsoft;O365E3 ShrdSvr ALNG SubsVL MVL PerUsr
Microsoft;PowerAutomateperFlowplan
Microsoft;O365E3 ShrdSvr ALNG SubsVL MVL PerUsr
Microsoft;O365E3 ShrdSvr ALNG SubsVL MVL PerUsr
Microsoft;O365E3 ShrdSvr ALNG SubsVL MVL PerUsr
Microsoft;O365E3 ShrdSvr ALNG SubsVL MVL PerUsr
Microsoft;O365E3 ShrdSvr ALNG SubsVL MVL PerUsr
Microsoft;O365E3 ShrdSvr ALNG SubsVL MVL PerUsr
Microsoft;M365AppsForEnterprisePerDevice ShrdSvr
Microsoft;M365AppsForEnterprisePerDevice ShrdSvr
Microsoft;M365AppsForEnterprisePerDevice ShrdSvr
Microsoft;Defender for Endpoint Server 
Microsoft;Defender for Endpoint Server 
Microsoft;M365AppsForEnterprisePerDevice ShrdSvr
Microsoft;M365AppsForEnterprisePerDevice ShrdSvr
Microsoft;M365AppsForEnterprisePerDevice ShrdSvr
Microsoft;M365AppsForEnterprisePerDevice ShrdSvr
Microsoft;Defender for Endpoint Per Device
Microsoft;Defender for Endpoint Server 
Microsoft;Defender for Endpoint Server 
Microsoft;Defender for Endpoint Server 
Microsoft;Defender for Endpoint Server 
Microsoft;Defender for Endpoint Server 
Microsoft;Defender for Endpoint Per Device
Microsoft;Defender for Endpoint Per Device
Microsoft;Defender for Endpoint Per Device
Microsoft;Defender for Endpoint Per Device
Microsoft;Defender for Endpoint Per Device
Microsoft;Azure Active Directory Premium P2
Microsoft;Azure Active Directory Premium P2
Microsoft;Azure Active Directory Premium P2
Microsoft;Azure Active Directory Premium P2
Microsoft;Defender for Endpoint Per Device
Microsoft;Azure Active Directory Premium P2
Microsoft;Azure Active Directory Premium P2
Microsoft;Azure Active Directory Premium P2
Microsoft;Azure Active Directory Premium P2
Microsoft;Defender for O365 Plan 2 
Microsoft;Defender for O365 Plan 2 
Microsoft;Defender for O365 Plan 2 
Microsoft;Defender for O365 Plan 2 
Microsoft;Defender for O365 Plan 2 
Microsoft;Defender for O365 Plan 2 
Microsoft;Defender for O365 Plan 2 
Microsoft;Defender for O365 Plan 2 
Microsoft;Defender Identity Sub Per User
Microsoft;Defender Identity Sub Per User
Microsoft;Defender Identity Sub Per User
Microsoft;Defender Identity Sub Per User
Microsoft;Defender Identity Sub Per User
Microsoft;Defender Identity Sub Per User
Microsoft;Defender Identity Sub Per User
Microsoft;Defender Identity Sub Per User
Microsoft;WinRmtDsktpSrvcsCAL ALNG LicSAPk MVL DvcCAL
Microsoft;WinRmtDsktpSrvcsCAL ALNG LicSAPk MVL DvcCAL
Microsoft;WinRmtDsktpSrvcsCAL ALNG LicSAPk MVL DvcCAL
Microsoft;WinRmtDsktpSrvcsCAL ALNG LicSAPk MVL DvcCAL
Microsoft;WinRmtDsktpSrvcsCAL ALNG LicSAPk MVL DvcCAL
Microsoft;Power Apps per User plan
Microsoft;Power Automate RPA
Microsoft;Power Automate RPA
Microsoft;Power Automate RPA
Microstrategy;Cloud Power User
Microstrategy;Cloud Architect User
Microstrategy;Store User
Nintex;Together Nintex Workflow Standard & Nintex Forms Standard Software Assurance
SAP; Ariba Sourcing
SAP;SAP Ariba Contracts
SAP;Ariba Supplier Lifecycle & Perf.
SAP;Ariba Catalog
Thinkcell;Licencias Thinkcell
Veritas;NETBACKUP ENTERPRISE XPLAT 1 FRONT END TB ONPREMISE STANDARD SUBSCRIPTION + ESSENTIAL MAINTENANCE LICENSE RENEWAL 36MO CORPORATE
Veritas;VERITAS ALTA DATA PROTECTION XPLAT 1 FRONT END TB STANDARD SUBSCRIPTION + ESSENTIAL MAINTENANCE LICENSE INITIAL 36MO CORPORATE
Veritas;VERITAS ALTA DATA PROTECTION XPLAT 1 FRONT END TB STANDARD SUBSCRIPTION + ESSENTIAL MAINTENANCE CONVERSION FROM PERPETUAL LICENSE INITIAL 36MO CORPORATE
Veritas;DATA INSIGHT PLUS CLOUD STORAGE XPLAT 1 TB ONPREMISE STANDARD SUBSCRIPTION + ESSENTIAL MAINTENANCE LICENSE INITIAL 36MO CORPORATE
Vmware;Tanzu CloudHealth
Trend;Deep Security - Network Security - per Server (VM)
Trend;Deep Discovery Inspector Model 1000 - 1Gbps 
Trend;Vision One Core – Apex SaaS 
Trend;Email and Collaboration Core – Cloud App Security 
Trend;Vision One Pro – Workload Security
Asana;Licencia Asana Business
JAMF;JAMF PRO MAC
JAMF;JAMF CONNECT
Blue Prism;Licencias RPA
mimix;MIMIX 78AA920 Model: 42A-P9
mimix;MIMIX 78AA930 Model: 42A-P9
seattlelab;SLNET 500 sesiones concurrentes
seattlelab;SL NET 6.3 (64bit)
zendesk;Zendesk
zendesk;Zendesk
automation anywhere;Bot Runner
automation anywhere;Control Room
automation anywhere;Unattended Bot Runner
FAMOC;Famoc por dispositivo
Gitlab;Gitlab premium
hotjar;Hotjar
sketchup;Sketchup
sketchup;Sketchup
sketchup;Sketchup
Serrala;CAS-D
Apple;Apple Developer Enterprise Program
Figma;Full Seat Enterprise
Figma;Dev seat Enterprise
Figma; Collab Seat Enterprise
Udemy;Udemy for Business Licenses
Udemy;Udemy for Business Licenses
AG Grid;Multiple Applications Grid Developer
BrowserStack;Web Testing Live Team
BrowserStack;App testing App Live Team
GEOVICTORIA;Geovictoria
65bit;EasyCatalog - Single Versión Upgrade
Articulate Global, LLC;Articulate 360 Teams
Tiny Technologies Inc.;Tiny Profesional
Oracle - Siebel;Siebel CRM Base - Application - User Perpetual
Oracle - Siebel;Siebel CTI - Application User Perpetual
Oracle - Siebel;Siebel Dynamic Catalog - Application User Perpetual
Oracle - Siebel;Siebel Email Marketing Server - Computer Perpetual
Oracle - Siebel;Siebel Email Response - Application User Perpetual
Oracle - Siebel;Siebel Financial Accounts - Application User Perpetual
Oracle - Siebel;Oracle WebCenter Sites Satellite Server - Named User Plus Perpetual
Oracle - Siebel;Oracle WebCenter Sites Satellite Server - Processor Perpetual
Oracle - Siebel;Siebel Loyalty Engine Multi-Partner Edition - 100K Member Records Perpetual
Oracle - Siebel;Siebel Loyalty Member Services Representative - Application User Perpetual
Oracle - Siebel;Siebel Marketing Resource Manager - Application User Perpetual
Oracle - Siebel;Oracle Business Intelligence Foundation Suite - Named User Plus Perpetual
Oracle - Siebel;Oracle WebCenter Sites Mobile Option - Named User Plus Perpetual
Oracle - Siebel;Oracle WebCenter Sites Mobile Option - Processor Perpetual
Oracle - Siebel;Oracle WebCenter Sites - Named User Plus Perpetual
Oracle - Siebel;Oracle WebCenter Sites - Processor Perpetual
Oracle - Siebel;Siebel Remote Client - Application User Perpetual
Oracle - Siebel;Siebel SmartScript - Application User Perpetual
Oracle - Siebel;Siebel Tools - Application User Perpetual
Oracle - Siebel;Siebel Customer Order Management Administrator - Application User Perpetual
Oracle - Siebel;Siebel Email/Web Offer Designer - Application User Perpetual
Oracle - Siebel;Siebel Customer Order Management Administration Server - Nonstandard User
Oracle - Siebel;Siebel Financial Services CRM Base Option - Application User Perpetual
Oracle - Siebel;Siebel Loyalty Manager - Application User Perpetual
Oracle - Siebel;Siebel Marketing Server - unlimited records - Computer Perpetual
Oracle - Siebel;Siebel Mobile - Application User Perpetual
Oracle - Siebel;Siebel Partner Manager - Application User Perpetual
Oracle - Siebel;Siebel Quote and Order Capture - Application User Perpetual
PortSwigger;Burp Suite Professional
Envato Elements Pty Ltd;Envato Elements
Envato Elements Pty Ltd;Envato Elements
Semrush;Semrush Suscripción Business
RYTE GMBH;Ryte
RYTE GMBH;Ryte
Smartsheet;Licencias Smartsheet Business Plan - Paid User
Notion;Notion Plan Business
BAYMARD;Baymard Research
Kahoot! ASA;Kahoot! 360 Pro
Cloudflare;Cloudflare
Mentimeter;Mentimeter Pro
Softguard;Softguard Ultra
Soti;SOTI MobiControl
Canva;Canva for teams
Canva;Canva for teams
Parallels International GmbH.;Parallels Desktop for Mac Professional Edition
Parallels International GmbH.;Parallels Desktop for Mac Professional Edition
Sendgrid;Sendgrid
VWO;VWO Testing & Mobile
Resguarda;Linea Etica
App Samurai INC;Storyly
Base4;Licencias Entrust
NEOSECURE;BTS
NOVARED;CyberArk - Secure IT & Ops Users - Enterprise
NOVARED;CyberArk - Secure IT & Ops Users - Standard
NOVARED;CyberArk Secrets Hub
NOVARED;CyberArk Addon Secrets Hub
SalesForce;Loyalty - Stogare/API Call/Pipeines
QRFY;QRFY
Bazaarvoice;Bazaarvoice
Datadog;Datadog
SEON Technologies Lt;SEON 
FORTRA;Powertech Exit Point Manager for IBM I - Primary Subscription
TDI XCOM;CA-XCOM
Acoustic;Demandtec
Sonar;SonarQube
Zebra BI d.d.;Zebra BI for Power BI - Enterprise Plan
Office Timeline;Office Timeline Add-in Expert
Oracle- MFP;Merchandise Financial Planning
Ivanti Velocity;140-SUB-VELOCTE
Blue Yonder;Plataforma Catman Blue Yonder
Blue Yonder;Plataforma Catman Blue Yonder - MH
Blue Yonder;Plataforma Catman Blue Yonder - MH
RunsOn;RunsOn - Premium Support
DPARADIG;Gestor de Eventos
DPARADIG;Visualización de Infraestructura de Redes
Revionics;Price Optimization
Revionics;Price Optimization
Commercetools;Commercetools Inc.
Supermetrics OY;Business Lite package
XBREIN;Gbrein
XBREIN;Gbrein
Shift Labor;Shift Workforce Management
Seidor Analytics;SNOWFLAKE
INTEROP CHILE CONSULTORES DE;Direct Link for SAP
INTEROP CHILE CONSULTORES DE;Starter Pack Plataforma Robots Enterprise y HighBond
INTEROP CHILE CONSULTORES DE;Suscripción usuarios Professional
Spreedly;BOVEDA DE TARJETAS
Tdilatam;UC4
Elementor Ltd.;Elementor Pro - Advanced Solo
Custom IT;VEEAM
Synergy Consulting;ESET PROTECT ELITE
Optiv Security Inc;Delinea
